Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
533519,L&TFH,A,133.10,134.85,125.95,126.85,71267092,92656.00,8414
543257,IRFC,A,92.94,92.94,77.40,82.83,63662986,53669.00,237251
542649,RVNL,A,195.80,199.35,161.05,169.65,18301964,32717.00,140140
543225,DATAINFRA,IF,155.00,155.00,155.00,155.00,15800000,24490.00,28
533096,ADANIPOWER,A,405.55,410.00,373.10,386.15,3358585,13090.00,53925
543940,JIOFIN,B,250.55,252.00,240.70,244.25,5059788,12453.00,72243
500510,LT,A,2954.05,3008.00,2932.75,2942.80,372821,11145.00,7911
500180,HDFCBANK,A,1641.00,1642.45,1624.00,1636.80,647572,10584.00,23222
541956,IRCON,A,170.00,174.55,144.35,151.15,6716727,10525.00,41388
500103,BHEL,A,141.85,141.85,124.60,125.75,7987229,10466.00,60183
532822,IDEA,A,11.38,11.47,10.32,10.52,97839777,10461.00,30223
533206,SJVN,A,81.50,83.18,68.50,70.45,12577902,9473.00,52376
532627,JPPOWER,A,9.90,9.98,8.57,8.71,92034277,8333.00,38603
500049,BEL,A,144.75,144.75,133.60,133.85,6119265,8299.00,36911
532648,YESBANK,A,18.51,18.57,17.42,17.55,45827851,8144.00,25527
523610,ITI,A,155.45,176.90,155.10,166.45,4754172,7967.00,44732
540777,HDFCLIFE,A,667.55,670.00,656.60,660.50,1050723,7006.00,1580
532174,ICICIBANK,A,988.80,995.05,982.60,990.90,688234,6806.00,17757
500209,INFY,A,1478.05,1503.60,1477.55,1500.80,412470,6160.00,7835
532667,SUZLON,A,24.19,24.19,22.85,22.85,23851879,5494.00,33271
532939,RPOWER,A,20.91,20.99,18.20,18.50,27823693,5344.00,14609
532955,RECLTD,A,271.70,272.35,246.30,248.55,2058487,5227.00,21835
532461,PNB,A,69.15,69.72,66.25,66.83,6871883,4652.00,17826
532810,PFC,A,308.75,310.00,282.05,282.95,1536670,4492.00,17902
532371,TTML,A,102.39,104.86,95.32,100.30,4415303,4452.00,28056
532921,ADANIPORTS,A,887.00,889.00,852.65,858.10,509421,4410.00,15760
500285,SPICEJET,B,41.50,41.70,36.38,40.45,11118790,4390.00,26799
543237,MAZDOCK,A,2287.95,2287.95,2006.40,2073.45,196412,4181.00,11232
